id,title,area,severity,impact,routes,component,source_location,evidence_type,evidence_ref,environment,reproduction,cause,confidence,effort,effortRationale,dependency,candidate_fix,acceptance_test,verification,observed,intended,requirement
"KO-UX-011","Operational errors are not consistently associated with fields","Client, review, ledger, GST and export forms","Medium","Shared FieldError supports an ID, but operational form consumers generally omit aria-invalid and aria-describedby. Clarification textarea has placeholder text without an accessible label.","/dashboard/audit-logs; /dashboard/clients/new; /dashboard/clients; /dashboard/clients/[clientId]/edit; /dashboard/clients/[clientId]; /dashboard/exports; /dashboard/gst-summary; /dashboard/gst-summary/[periodId]; /dashboard/inbox; /dashboard/ledger; /dashboard/ledger/[entryId]/edit; /dashboard/ledger/[entryId]; /dashboard/operations; /dashboard; /dashboard/platform; /dashboard/reports; /dashboard/review-queue; /dashboard/review-queue/[transactionId]; /dashboard/settings; /onboarding; /","src/components/design-system.tsx; src/components/client-form.tsx; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx","src/components/design-system.tsx:184; src/components/client-form.tsx:12; src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:246","CODE_INSPECTED; BROWSER_VERIFIED","evidence/authenticated-browser.json","Hosted khataone.vercel.app; Chromium153; existing account; detailed viewport evidence in authenticated-browser.json","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Error text is rendered visually without a consistent field ID/name/error contract.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Shared field contract; screen-reader validation with synthetic errors.","Associate label, help and error IDs; set aria-invalid after validation; focus the first invalid field or an error summary; label clarification explicitly.","Keyboard/screen-reader tests identify each invalid field and error; clarification has a persistent label; pending feedback remains live and nonduplicative.","Unnamed clarification TEXTAREA observed on detail at320/1280/1440; field-error submission behavior remains blocked.","Shared FieldError supports an ID, but operational form consumers generally omit aria-invalid and aria-describedby. Clarification textarea has placeholder text without an accessible label.","Errors and purpose should be announced at the affected control, as AuthForm already does.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-012","Collapsed navigation tooltip cannot be dismissed with Escape","Dashboard navigation","Medium","Tooltip visibility follows hover/focus only; Escape has no dismissal handler.","/dashboard/*","src/components/dashboard-nav.tsx","src/components/dashboard-nav.tsx:163","CODE_INSPECTED; BROWSER_VERIFIED","evidence/authenticated-browser.json","Hosted khataone.vercel.app; Chromium153; existing account; detailed viewport evidence in authenticated-browser.json","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Tooltip has no explicit dismissal state.","High for source; hosted interaction outcome in authenticated-browser.json","S","Local component/style or state correction with bounded consumers.","Preserve existing firm/role checks and server action contracts; no production fixtures may be mutated.","Add Escape dismissal for the current focused/hovered tooltip and reset appropriately on re-entry; preserve keyboard accessible link names.","Collapsed link focus shows its label; Escape hides it without moving focus; it can be shown again; pointer entry into tooltip is evaluated for hoverability.","Tooltip visible after focus and remains visible after Escape. Skip link, mobile Escape and focus return passed.","Tooltip visibility follows hover/focus only; Escape has no dismissal handler.","Additional hover/focus content should be dismissible without moving focus when it obscures content.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-013","Auth controls miss the project mobile touch baseline","Login; Signup; password recovery","Medium","Auth and reset fields remain 36px high; password visibility buttons are 28×28px. Public browser measurements confirm those sizes on narrow screens.","/forgot-password; /login; /reset-password; /signup","src/components/auth-form.tsx; src/components/update-password-form.tsx; src/components/password-reset-form.tsx","src/components/auth-form.tsx:216; src/components/update-password-form.tsx:82; src/components/password-reset-form.tsx:18","CODE_INSPECTED; BROWSER_VERIFIED public local","evidence/public-browser.json; evidence/signup-invalid-320.png","Local isolated Next development build; anonymous; Chromium 153; 320/390px","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Auth uses local compact styles rather than shared mobile-responsive control sizes.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Preserve existing firm/role checks and server action contracts; no production fixtures may be mutated.","Align mobile field/button hit areas with the shared 44px baseline; keep visible focus and password semantics.","At 320/390px every primary form control and password toggle has a 44px target, without overflow or label collision.","public-browser.json and signup-invalid-320.png; 44px is a project target, not a blanket WCAG 2.2 AA minimum.","Auth and reset fields remain 36px high; password visibility buttons are 28×28px. Public browser measurements confirm those sizes on narrow screens.","The candidate/project touch baseline is 44px while desktop can remain compact.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-014","Absent summary/confidence values can look like measured zero","GST detail; extraction confidence","Medium","GST detail formats null totals as ₹0 and missing issue counts as zero. Review confidence displays can similarly map absence to 0%.","/dashboard/gst-summary/[periodId]; /dashboard","src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx; src/app/(dashboard)/dashboard/page.tsx","src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx:51; src/app/(dashboard)/dashboard/page.tsx:323","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Formatting fallbacks erase data availability semantics.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Distinguish schema-nullable values from valid zero; accounting/readiness contract review.","Use explicit missing/unavailable labels and avoid green readiness derived from absent summary fields; keep legitimate numeric zeros.","Missing summary, missing extraction and valid zero fixtures have visibly different states; no arithmetic is changed.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","GST detail formats null totals as ₹0 and missing issue counts as zero. Review confidence displays can similarly map absence to 0%.","Missing/unavailable financial evidence must remain distinguishable from a real zero or measured confidence.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-015","Client filtered empty state and status chooser are incomplete","Clients","Medium","A zero SQL search result enters “No clients yet”; the alternate page-slice empty condition is effectively unreachable. The status filter omits onboarding, although the create form supports it.","/dashboard/clients/new; /dashboard/clients; /dashboard/clients/[clientId]/edit","src/app/(dashboard)/dashboard/clients/page.tsx; src/app/(dashboard)/dashboard/clients/page.tsx; src/components/client-form.tsx","src/app/(dashboard)/dashboard/clients/page.tsx:226; src/app/(dashboard)/dashboard/clients/page.tsx:55; src/components/client-form.tsx:166","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","The empty branch checks only returned data length and filter options drift from the domain form.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Preserve existing firm/role checks and server action contracts; no production fixtures may be mutated.","Distinguish no records from no matches using active filters; align allowed status choices and provide Clear filters.","A known populated fixture searched with a nonmatch says no matches; onboarding records can be selected; genuine first-use state still offers setup.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","A zero SQL search result enters “No clients yet”; the alternate page-slice empty condition is effectively unreachable. The status filter omits onboarding, although the create form supports it.","An empty filtered result should help users clear filters, and supported statuses should be findable.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-016","Detail and action returns lose queue context","Clients; Review; Ledger; Operations","Medium","Detail/back links and action redirects generally return to bare module paths, losing the originating page, filters and search.","/dashboard/operations; /dashboard/review-queue/[transactionId]","src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx; src/app/actions/review.ts; src/app/actions/operations.ts","src/app/(dashboard)/dashboard/review-queue/[transactionId]/page.tsx:124; src/app/actions/review.ts:266; src/app/actions/operations.ts:47","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Originating URL state is not carried into detail/action navigation.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Small navigation policy decision for approval redirect and queue continuation.","Preserve an allowlisted internal return context or restore list state; keep the explicit post-approval Ledger handoff destination unless product decides otherwise.","Opening/back from page 3 restores filters/page; action outcomes preserve useful context; external or unauthorized return URLs are rejected.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Detail/back links and action redirects generally return to bare module paths, losing the originating page, filters and search.","Reviewers should return to their selected work slice after inspecting or acting on a record.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-017","Firm identity block resembles a switcher without switching behavior","Dashboard shell","Low","Sidebar firm block has hover treatment and a chevron but is a static div; topbar repeats firm context. getFirmContext selects one active membership with limit(1).","/dashboard/audit-logs; /dashboard/clients; /dashboard/clients/[clientId]/edit; /dashboard/clients/[clientId]; /dashboard/exports; /dashboard/gst-summary; /dashboard/gst-summary/[periodId]; /dashboard/inbox; /dashboard/ledger; /dashboard/ledger/[entryId]/edit; /dashboard/ledger/[entryId]; /dashboard/operations; /dashboard; /dashboard/platform; /dashboard/reports; /dashboard/review-queue; /dashboard/review-queue/[transactionId]; /dashboard/settings","src/components/dashboard-sidebar.tsx; src/lib/firms.ts","src/components/dashboard-sidebar.tsx:117; src/lib/firms.ts:54","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Reference-style affordances are present before a workspace-selection feature exists.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Do not introduce selected-firm storage or multi-tenant switching as polish.","Remove misleading switch affordance and clarify static identity; put true multi-firm selection in the product decision list.","The current workspace is legible in both sidebar states and mobile; no nonfunctional menu affordance remains.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Sidebar firm block has hover treatment and a chevron but is a static div; topbar repeats firm context. getFirmContext selects one active membership with limit(1).","Static identity should read as identity; a real switcher needs explicit selection and authorization semantics.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-018","Fixed Review Queue columns are fragile around desktop breakpoints","Review Queue filters","Medium","The xl grid has seven tracks for eight children, with 810px of fixed tracks plus auto date and gaps before the flexible search field. Available content is reduced by a 256px sidebar.","/dashboard/review-queue","src/app/(dashboard)/dashboard/review-queue/page.tsx","src/app/(dashboard)/dashboard/review-queue/page.tsx:247","CODE_INSPECTED; hosted measurements in authenticated-browser.json; BROWSER_VERIFIED","evidence/authenticated-browser.json","Hosted khataone.vercel.app; Chromium153; existing account; detailed viewport evidence in authenticated-browser.json","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Viewport breakpoints are used where available content width varies with the sidebar; fixed columns consume the input budget.","High for grid structure; exact rendered impact depends on hosted build and viewport","S","Local component/style or state correction with bounded consumers.","Preserve existing firm/role checks and server action contracts; no production fixtures may be mutated.","Use bounded flexible tracks or an intentional two-row toolbar; keep visual/tab order aligned and preserve filter behavior.","At 1024/1280/1440 and both sidebar states, search/date fields remain usable with long labels and enlarged text; no page overflow.","Review1280 scrollWidth1328; q input51px. Review1440 q71px;1920 q551px. Current deployed commit unverified.","The xl grid has seven tracks for eight children, with 810px of fixed tracks plus auto date and gaps before the flexible search field. Available content is reduced by a 256px sidebar.","Filters should retain usable input widths, logical order and reachable Apply/Clear controls.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-019","Audit screen omits the recorded before/after investigation path","Audit Logs; detail audit panels","Medium","The audit list displays actor/action/entity identifiers and time but not a navigable entity or expandable before/after metadata. Detail panels expose only short recent activity.","/dashboard/audit-logs; /dashboard/ledger/[entryId]","src/app/(dashboard)/dashboard/audit-logs/page.tsx; src/app/(dashboard)/dashboard/ledger/[entryId]/page.tsx","src/app/(dashboard)/dashboard/audit-logs/page.tsx:81; src/app/(dashboard)/dashboard/ledger/[entryId]/page.tsx:75","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Audited data exists in contracts but the investigation UI stops at index rows.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Metadata allowlist/redaction policy; no raw JSON dumps; coordinate KO-UX-009.","Expose safe structured metadata and allowlisted entity links, with redaction and independent authorization; combine with history pagination.","A synthetic correction is traceable from Ledger to its audit and before/after values, while secret/internal metadata and foreign records remain inaccessible.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","The audit list displays actor/action/entity identifiers and time but not a navigable entity or expandable before/after metadata. Detail panels expose only short recent activity.","A CA should trace a sensitive change to the source record and recorded change details.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-020","Landing claim exceeds review evidence currently presented","Landing feature copy","Medium","Public copy claims source context and confidence for every extracted field, while the current review UI exposes a record-level confidence and source-text rail.","/","src/app/page.tsx","src/app/page.tsx:63","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Proposed field-level evidence capability is described as existing behavior.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Product copy approval; do not invent metrics or direct GST filing capabilities.","Narrow the claim to current record-level review support; label illustrative product samples; keep field-level evidence in the product decision list.","Every public workflow claim maps to an implemented route and observable behavior; synthetic sample records cannot be mistaken for live outcomes.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Public copy claims source context and confidence for every extracted field, while the current review UI exposes a record-level confidence and source-text rail.","Marketing should describe implemented, verifiable review capabilities.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-021","Password-update success can be overwritten by a client exception","Reset password","High","After awaiting updateUser, the handler calls event.currentTarget.reset(). React clears currentTarget after dispatch; the catch can replace a successful update with a setup error.","/reset-password","src/components/update-password-form.tsx","src/components/update-password-form.tsx:53","CODE_INSPECTED; installed React DOM dispatcher clears event.currentTarget","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","The async continuation retains the event rather than the form element reference.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Isolated recovery-session/provider mock; real password mutation excluded.","Capture the form element before awaiting; preserve real success and classify session/provider errors accurately.","Mock a successful updateUser promise: the form resets and success persists; expired recovery sessions show an actionable error; never change a real password for verification.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","After awaiting updateUser, the handler calls event.currentTarget.reset(). React clears currentTarget after dispatch; the catch can replace a successful update with a setup error.","Successful password changes must show an accurate result and a safe sign-in path.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-022","Overview prioritization does not consistently connect counts to exact work","Overview","Medium","Tiles are noninteractive despite hover treatment; worklist destinations are broad module routes. Intake label omits received records that the count includes; exports-this-month uses created_at rather than completed_at.","/dashboard/audit-logs; /dashboard/clients/new; /dashboard/clients; /dashboard/clients/[clientId]/edit; /dashboard/clients/[clientId]; /dashboard/exports; /dashboard/gst-summary; /dashboard/gst-summary/[periodId]; /dashboard/inbox; /dashboard/ledger; /dashboard/ledger/[entryId]/edit; /dashboard/ledger/[entryId]; /dashboard/operations; /dashboard; /dashboard/platform; /dashboard/reports; /dashboard/review-queue; /dashboard/review-queue/[transactionId]; /dashboard/settings; /onboarding; /","src/app/(dashboard)/dashboard/page.tsx; src/app/(dashboard)/dashboard/page.tsx; src/components/design-system.tsx","src/app/(dashboard)/dashboard/page.tsx:11; src/app/(dashboard)/dashboard/page.tsx:117; src/components/design-system.tsx:495","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Count definitions, descriptions and destination filters are maintained separately.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Product decision on monthly export metric; existing status-filter capabilities; preserve four worklist queues.","Define each count centrally and link supported filters; clarify created-versus-completed month semantics before changing queries. Make only truly interactive surfaces look clickable.","Each signal documents status/date scope; destination returns the corresponding eligible records, and empty counts are neutral; no reference-image numbers are hardcoded.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Tiles are noninteractive despite hover treatment; worklist destinations are broad module routes. Intake label omits received records that the count includes; exports-this-month uses created_at rather than completed_at.","Actionable counts need clear definitions and a route to the same underlying work slice.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-023","Operational error truncation removes the recovery information","Operations; shared InlineAlert","Medium","safeErrorMessage slices the first 140 characters and InlineAlert truncates its text. Neither offers a complete safe detail view.","/dashboard/audit-logs; /dashboard/clients/new; /dashboard/clients; /dashboard/clients/[clientId]/edit; /dashboard/clients/[clientId]; /dashboard/exports; /dashboard/gst-summary; /dashboard/gst-summary/[periodId]; /dashboard/inbox; /dashboard/ledger; /dashboard/ledger/[entryId]/edit; /dashboard/ledger/[entryId]; /dashboard/operations; /dashboard; /dashboard/platform; /dashboard/reports; /dashboard/review-queue; /dashboard/review-queue/[transactionId]; /dashboard/settings; /onboarding; /","src/app/(dashboard)/dashboard/operations/page.tsx; src/components/design-system.tsx","src/app/(dashboard)/dashboard/operations/page.tsx:72; src/components/design-system.tsx:661","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Visual shortening substitutes for structured error classification and controlled disclosure.","High for source behavior; runtime state not induced","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Error taxonomy and safe-detail allowlist; no retry-policy changes.","Show a concise classified error plus an accessible safe detail/recovery route; retain private diagnostics server-side.","Long synthetic provider errors remain understandable on mobile and keyboard; tokens/URLs/payloads stay redacted; no failed backlog is automatically replayed.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","safeErrorMessage slices the first 140 characters and InlineAlert truncates its text. Neither offers a complete safe detail view.","An operator should understand the cause and next action without exposing raw provider payloads.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-024","Hierarchy tokens diverge across public, auth and operational surfaces","Shared design system; shell; Overview","Low","Dashboard uses 56px header, 256/68px sidebar, 20/24px h1 and 14px panel headings, 6px controls and 8px cards. Reference candidates propose 64px/240–72px, 28px h1 and 12px panels. Auth also bypasses shared control sizes.","/dashboard/audit-logs; /dashboard/clients/new; /dashboard/clients; /dashboard/clients/[clientId]/edit; /dashboard/clients/[clientId]; /dashboard/exports; /dashboard/gst-summary; /dashboard/gst-summary/[periodId]; /dashboard/inbox; /dashboard/ledger; /dashboard/ledger/[entryId]/edit; /dashboard/ledger/[entryId]; /dashboard/operations; /dashboard; /dashboard/platform; /dashboard/reports; /dashboard/review-queue; /dashboard/review-queue/[transactionId]; /dashboard/settings; /onboarding; /","src/components/design-system.tsx; src/components/design-system.tsx; src/app/globals.css; src/app/(dashboard)/dashboard/layout.tsx","src/components/design-system.tsx:271; src/components/design-system.tsx:326; src/app/globals.css:46; src/app/(dashboard)/dashboard/layout.tsx:42","CODE_INSPECTED; REFERENCE_OBSERVED; DOCUMENTED_REQUIREMENT","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Several historical design passes coexist; reference targets are proposals rather than an approved token update.","High for source dimensions; visual preference requires user decision","M","Shared or multi-route UI change requiring coordinated states and regression checks.","Approve candidate density values; existing overview concepts remain unapproved.","Approve a small density/token matrix for shell, operational panels and auth. Reuse primitives and keep numeric mono alignment; prefer content fit over fixed heights.","Document accepted deviations and compare actual responsive renders before changing shared tokens; all consumers retain readable labels and action priority.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","Dashboard uses 56px header, 256/68px sidebar, 20/24px h1 and 14px panel headings, 6px controls and 8px cards. Reference candidates propose 64px/240–72px, 28px h1 and 12px panels. Auth also bypasses shared control sizes.","Retain the calm professional direction while choosing a deliberate compact hierarchy, rather than copying image dimensions blindly.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-025","GST detail pushes the whole mobile page wider than the viewport","GST period detail","High","Hosted period detail measured a 998px document at a 320px viewport; the page-level overflow is outside the intentional table scroll region.","/dashboard/audit-logs; /dashboard/clients/new; /dashboard/clients; /dashboard/clients/[clientId]/edit; /dashboard/clients/[clientId]; /dashboard/exports; /dashboard/gst-summary; /dashboard/gst-summary/[periodId]; /dashboard/inbox; /dashboard/ledger; /dashboard/ledger/[entryId]/edit; /dashboard/ledger/[entryId]; /dashboard/operations; /dashboard; /dashboard/platform; /dashboard/reports; /dashboard/review-queue; /dashboard/review-queue/[transactionId]; /dashboard/settings; /onboarding; /","src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx; src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx; src/components/design-system.tsx","src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx:183; src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx:191; src/components/design-system.tsx:311","BROWSER_VERIFIED; CODE_INSPECTED; HYPOTHESIS cause","evidence/authenticated-browser.json","Hosted khataone.vercel.app; Chromium 153; 320×900; signed-in existing account; expanded sidebar preference (hidden at mobile)","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Likely automatic minimum sizing of grid children around the 980px source table; source structure matches the measured failure, but exact CSS attribution remains an inference.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Confirm minimum-size chain in local synthetic populated period; do not remove essential financial columns.","Constrain grid tracks/items and nested table wrappers with appropriate min-width:0/max-width; preserve horizontal table access and numeric columns.","Populated GST source/audit tables at 320/390/768 have document scrollWidth no larger than viewport+1; keyboard table scrolling reaches all columns.","authenticated-browser.json: GST detail width 320, scrollWidth 998; no business mutations.","Hosted period detail measured a 998px document at a 320px viewport; the page-level overflow is outside the intentional table scroll region.","Financial columns must remain reachable inside a bounded scroll region, without widening the page.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-026","Mobile sign-out target is tall enough but too narrow for the chosen baseline","Dashboard shell","Medium","Hosted dashboard sign-out measures 32×44px at mobile widths. The hidden text leaves icon16 plus horizontal padding16.","/dashboard/*","src/app/(dashboard)/dashboard/layout.tsx","src/app/(dashboard)/dashboard/layout.tsx:57","BROWSER_VERIFIED; CODE_INSPECTED","evidence/authenticated-browser.json","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","Shared height enlargement does not guarantee an icon-only minimum width.","High for source behavior; runtime state not induced","S","Local component/style or state correction with bounded consumers.","Shared icon-button sizing; 44px is a project target, not a blanket AA failure.","Give icon-only shell buttons an explicit mobile minimum width while retaining their accessible names and compact desktop treatment.","Sign-out measures at least44×44 at320/390; menu and header fit long workspace names and enlarged text.","authenticated-browser.json small controls across every narrow dashboard sample; sign-out was not activated.","Hosted dashboard sign-out measures 32×44px at mobile widths. The hidden text leaves icon16 plus horizontal padding16.","The project mobile target is at least 44px in both dimensions.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
"KO-UX-027","GST source list is not the snapshot population used for its totals","GST period detail; summary provenance","High","The saved summary is generated from approved transactions, but the detail page lists current transactions in the date/client range without an approved-status predicate or snapshot membership.","/dashboard/gst-summary/[periodId]","src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx; src/app/actions/gst.ts","src/app/(dashboard)/dashboard/gst-summary/[periodId]/page.tsx:93; src/app/actions/gst.ts:53","CODE_INSPECTED","evidence/source-inventory.json; cited source","Local checkout main @ 59b903f; hosted mutation behavior not exercised","Inspect the cited route/component under the described condition; reproduce with authorized synthetic fixtures before implementation acceptance.","A persisted generation snapshot is presented alongside a live all-status query under a source heading.","High for source behavior; runtime state not induced","L","Crosses query/workflow/provenance contracts and requires representative regression fixtures.","Product/accounting decision about snapshot provenance; inspect current metadata before proposing persistence; no schema or financial rewrite in polish.","Distinguish generation snapshot evidence, current approved sources and unresolved blockers; label generation time and scope. Do not silently change totals or accounting rules.","An unresolved draft and a post-generation approval are clearly distinguished from the saved snapshot inputs; users can trace each source/blocker without assuming list totals reconcile automatically.","Source verified; end-to-end mutation/failure-state verification BLOCKED without disposable fixtures.","The saved summary is generated from approved transactions, but the detail page lists current transactions in the date/client range without an approved-status predicate or snapshot membership.","Displayed totals need an explicit explanation of which source population and generation time they represent.","docs/PRD.md (CA-reviewed, traceable operations); docs/Design.md and docs/UI-UX-Design-Brief.md (dense, accessible operational UI); supplied diagnosis sections 6–10; specific intended behavior stated above"
